"CIK","CompanyName","EIN","StateOfIncorp","FiscalYearEnd","Type","Act","FileNo","FilmNo","BusinessAddress","MailingAddress","Filings","Format","Description","Filing Date","File/Film Num.","Link"
"0001711039","Blackstone Tactical Opportunities RL Fund L.P.CIK#:0001711039 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001711039-17-000001 (33 Act)  Size: 12 KB","2017-07-20","","https://www.sec.gov/Archives/edgar/data/1711039/000171103917000001/0001711039-17-000001-index.htm"
"0001711610","Blackstone Core Equity Partners - CA L.P.CIK#:0001711610 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001711610-17-000001 (33 Act)  Size: 11 KB","2017-07-13","","https://www.sec.gov/Archives/edgar/data/1711610/000171161017000001/0001711610-17-000001-index.htm"
"0001712940","Blackstone Tactical Opportunities Fund III - Lux SCSpCIK#:0001712940 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001712940-17-000001 (33 Act)  Size: 13 KB","2017-08-04","","https://www.sec.gov/Archives/edgar/data/1712940/000171294017000001/0001712940-17-000001-index.htm"
"0001713206","Blackstone Tactical Opportunities Fund III L.P.CIK#:0001713206 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001713206-17-000001 (33 Act)  Size: 13 KB","2017-08-04","","https://www.sec.gov/Archives/edgar/data/1713206/000171320617000001/0001713206-17-000001-index.htm"
"0001713859","Blackstone Tactical Opportunities RL Fund (Lux) SCSpCIK#:0001713859 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001713859-17-000001 (33 Act)  Size: 10 KB","2017-08-14","","https://www.sec.gov/Archives/edgar/data/1713859/000171385917000001/0001713859-17-000001-index.htm"
"0001714056","Blackstone Real Estate Partners Asia II L.P.CIK#:0001714056 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001714056-17-000003 (33 Act)  Size: 20 KB","2017-09-19","","https://www.sec.gov/Archives/edgar/data/1714056/000171405617000003/0001714056-17-000003-index.htm"
"0001714061","Blackstone Real Estate Partners Asia II (Lux) SCSpCIK#:0001714061 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001714061-17-000001 (33 Act)  Size: 17 KB","2017-09-19","","https://www.sec.gov/Archives/edgar/data/1714061/000171406117000001/0001714061-17-000001-index.htm"
"0001714387","Blackstone Maps Onshore Fund L.P.CIK#:0001714387 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0000902664-17-003350 (33 Act)  Size: 7 KB","2017-08-16","","https://www.sec.gov/Archives/edgar/data/1714387/000090266417003350/0000902664-17-003350-index.htm"
"0001715299","Blackstone Property Partners Burbank Co-Investment L.P.CIK#:0001715299 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, 3C.1, and 3C.7 Acc-no: 0001715299-17-000001 (33 Act)  Size: 15 KB","2017-08-24","","https://www.sec.gov/Archives/edgar/data/1715299/000171529917000001/0001715299-17-000001-index.htm"
"0001717622","Blackstone Capital Partners Asia (Lux) SCSpCIK#:0001717622 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001717622-17-000001 (33 Act)  Size: 16 KB","2017-11-02","","https://www.sec.gov/Archives/edgar/data/1717622/000171762217000001/0001717622-17-000001-index.htm"
"0001717632","Blackstone Capital Partners Asia L.P.CIK#:0001717632 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001717632-17-000001 (33 Act)  Size: 15 KB","2017-11-02","","https://www.sec.gov/Archives/edgar/data/1717632/000171763217000001/0001717632-17-000001-index.htm"
"0001718416","Blackstone Infrastructure Partners - P L.P.CIK#:0001718416 (see all company filings)","","","","","","","","","","D","Documents","Notice of Exempt Offering of Securities, items 06b, 3C, and 3C.7 Acc-no: 0001718416-17-000001 (33 Act)  Size: 12 KB","2017-11-07","","https://www.sec.gov/Archives/edgar/data/1718416/000171841617000001/0001718416-17-000001-index.htm"
